,Unnamed: 0,variable,value,Algo,configName
22,,macro_auc,0.5,Naïve Bayes,TfIdf
23,,macro_auc,0.5,Naïve Bayes,TfIdf
24,,micro_auc,0.5,Naïve Bayes,TfIdf
25,,micro_auc,0.5,Naïve Bayes,TfIdf
26,,micro_auc,0.5,Naïve Bayes,TfIdf
27,,micro_auc,0.5,Naïve Bayes,TfIdf
0,,-1,0.7978056426332288,Logistic Regression,TfIdf
1,,-1,0.270026525198939,Logistic Regression,TfIdf
2,,-1,0.4034879112168054,Logistic Regression,TfIdf
3,,-1,1885.0,Logistic Regression,TfIdf
4,,1,0.8996792067658209,Logistic Regression,TfIdf
5,,1,0.9896543427700698,Logistic Regression,TfIdf
6,,1,0.9425243459996181,Logistic Regression,TfIdf
7,,1,12469.0,Logistic Regression,TfIdf
8,,accuracy,0.8951511773721611,Logistic Regression,TfIdf
9,,accuracy,0.8951511773721611,Logistic Regression,TfIdf
10,,accuracy,0.8951511773721611,Logistic Regression,TfIdf
11,,accuracy,0.8951511773721611,Logistic Regression,TfIdf
12,,macro avg,0.8487424246995249,Logistic Regression,TfIdf
13,,macro avg,0.6298404339845044,Logistic Regression,TfIdf
14,,macro avg,0.6730061286082117,Logistic Regression,TfIdf
15,,macro avg,14354.0,Logistic Regression,TfIdf
16,,weighted avg,0.8863009381027349,Logistic Regression,TfIdf
17,,weighted avg,0.8951511773721611,Logistic Regression,TfIdf
18,,weighted avg,0.8717368526482456,Logistic Regression,TfIdf
19,,weighted avg,14354.0,Logistic Regression,TfIdf
20,,macro_auc,0.6298404339845044,Logistic Regression,TfIdf
21,,macro_auc,0.6298404339845044,Logistic Regression,TfIdf
22,,macro_auc,0.6298404339845044,Logistic Regression,TfIdf
23,,macro_auc,0.6298404339845044,Logistic Regression,TfIdf
24,,micro_auc,0.6298404339845044,Logistic Regression,TfIdf
25,,micro_auc,0.6298404339845044,Logistic Regression,TfIdf
26,,micro_auc,0.6298404339845044,Logistic Regression,TfIdf
27,,micro_auc,0.6298404339845044,Logistic Regression,TfIdf
0,,-1,0.7712082262210797,SVM,TfIdf
1,,-1,0.47745358090185674,SVM,TfIdf
2,,-1,0.5897771952817824,SVM,TfIdf
3,,-1,1885.0,SVM,TfIdf
4,,1,0.9253052248426481,SVM,TfIdf
5,,1,0.9785868955008421,SVM,TfIdf
6,,1,0.9512004989086373,SVM,TfIdf
7,,1,12469.0,SVM,TfIdf
8,,accuracy,0.9127769262923227,SVM,TfIdf
9,,accuracy,0.9127769262923227,SVM,TfIdf
10,,accuracy,0.9127769262923227,SVM,TfIdf
11,,accuracy,0.9127769262923227,SVM,TfIdf
12,,macro avg,0.8482567255318638,SVM,TfIdf
13,,macro avg,0.7280202382013494,SVM,TfIdf
14,,macro avg,0.7704888470952098,SVM,TfIdf
15,,macro avg,14354.0,SVM,TfIdf
16,,weighted avg,0.9050688557189436,SVM,TfIdf
17,,weighted avg,0.9127769262923227,SVM,TfIdf
18,,weighted avg,0.903737566810503,SVM,TfIdf
19,,weighted avg,14354.0,SVM,TfIdf
20,,macro_auc,0.7280202382013494,SVM,TfIdf
21,,macro_auc,0.7280202382013494,SVM,TfIdf
22,,macro_auc,0.7280202382013494,SVM,TfIdf
23,,macro_auc,0.7280202382013494,SVM,TfIdf
24,,micro_auc,0.7280202382013494,SVM,TfIdf
25,,micro_auc,0.7280202382013494,SVM,TfIdf
26,,micro_auc,0.7280202382013494,SVM,TfIdf
27,,micro_auc,0.7280202382013494,SVM,TfIdf
